semester,gender,age,class,exercise,tv
Fall-2014,Male,20,Junior,5,25
Fall-2014,Male,21,Senior,2,6
Fall-2014,Male,22,Junior,10,25
Fall-2014,Male,24,Senior,4,0
Fall-2014,Male,18,Sophomore,2,25
Fall-2014,Male,18,Sophomore,8,18
Fall-2014,Female,19,Sophomore,12,2
Fall-2014,Male,19,Junior,0,10
Fall-2014,Female,18,Sophomore,3,5
Fall-2014,Male,20,Junior,11,2
Fall-2014,Female,24,Senior,2,5
Fall-2014,Female,21,Senior,5,4
Fall-2014,Female,21,Junior,4,4
Fall-2014,Male,22,Junior,4,8
Fall-2014,Male,21,Senior,20,6
Fall-2014,Female,23,Senior,4,30
Fall-2014,Female,21,Senior,9,6
Fall-2014,Female,26,Senior,0,20
Fall-2014,Male,21,Senior,10,6
Fall-2014,Male,20,Junior,4,1
Fall-2014,Male,20,Junior,8,3
Fall-2014,Male,23,Senior,5,4
Fall-2014,Female,21,Senior,5,2
Fall-2014,Female,21,Junior,2,10
Fall-2014,Female,19,Sophomore,5,6
Fall-2014,Female,19,Sophomore,8,30
Fall-2014,Male,21,Senior,6,0
Fall-2014,Male,20,Junior,6,6
Fall-2014,Female,22,Senior,6,10
Fall-2014,Female,19,Sophomore,6,6
Fall-2014,Female,21,Junior,6,10
Fall-2014,Female,22,Senior,8,15
Fall-2014,Female,23,Junior,4,1
Fall-2014,Female,21,Junior,5,8
Fall-2014,Male,21,Senior,5,4
Fall-2014,Female,21,Senior,0,0
Fall-2014,Female,20,Junior,3,5
Fall-2014,Male,20,Junior,3,20
Fall-2014,Female,20,Junior,5,5
Fall-2014,Male,20,Junior,0,0
Fall-2014,Female,23,Senior,6,6
Fall-2014,Female,20,Junior,3,4
Fall-2014,Female,18,Sophomore,NA,NA
Fall-2014,Male,27,Senior,4,4
Fall-2014,Male,20,Junior,10,5
Fall-2014,Male,31,Senior,4,20
Fall-2014,Female,20,Junior,4,0
Fall-2014,Female,20,Junior,4,0
Fall-2014,Male,21,Senior,6,5
Fall-2014,Female,20,Junior,NA,3
Fall-2014,Male,19,Junior,10,1
Fall-2014,Female,32,Junior,20,14
Fall-2014,Female,21,Junior,5,2
Fall-2014,Female,23,Senior,3,4
Fall-2014,Female,23,Senior,2,5
Fall-2014,Male,28,Senior,3,2
Fall-2014,Female,20,Junior,3,4
Fall-2014,Female,20,Junior,16,0
Fall-2014,Female,23,Senior,0,5
Fall-2014,Female,21,Senior,5,4
Fall-2014,Female,21,Senior,2,1
Fall-2014,Male,20,Junior,1,1
Fall-2014,Male,22,Senior,4,0
Fall-2014,Male,22,Junior,3,6
Fall-2014,Female,22,Senior,3,3
Fall-2014,Female,20,Junior,5,10
Fall-2014,Female,20,Junior,1,10
Fall-2014,Female,26,Senior,3,2
Fall-2014,Female,22,Senior,14,1
Fall-2014,Female,20,Junior,5,10
Fall-2014,Female,21,Senior,3,0
Fall-2014,Female,20,Junior,1,2
Fall-2014,Female,19,Junior,1,4
Fall-2014,Female,21,Junior,3,1
Fall-2014,Male,30,Senior,6,14
Fall-2014,Male,38,Senior,10,NA
Fall-2014,Male,38,Senior,10,1
Fall-2014,Male,22,Junior,3,4
Fall-2014,Female,22,Senior,10,0
Fall-2014,Female,20,Junior,8,0
Spring-2015,Male,NA,Sophomore,2,0
Spring-2015,Female,23,Junior,1,NA
Spring-2015,Female,23,Junior,1,NA
Spring-2015,Female,23,Junior,1,15
Spring-2015,Female,22,Senior,3,4
Spring-2015,Female,20,Junior,2,4
Spring-2015,Female,33,Senior,5,4
Spring-2015,Female,23,Junior,2,20
Spring-2015,Female,20,Junior,0,1
Spring-2015,Male,22,Junior,5,20
Spring-2015,Female,21,Junior,6,1
Spring-2015,NA,20,Junior,10,8
Spring-2015,Male,21,Senior,5,1
Spring-2015,Male,19,Sophomore,4,0
Spring-2015,Male,21,Junior,12,8
Spring-2015,Female,35,Senior,0,5
Spring-2015,Female,26,Junior,NA,NA
Spring-2015,Female,19,Junior,8,0
Spring-2015,Female,21,Senior,5,10
Spring-2015,Female,20,Junior,4,2
Spring-2015,Female,19,Sophomore,5,1
Spring-2015,Female,20,Junior,1,3
Spring-2015,Female,19,Sophomore,1,5
Spring-2015,Female,26,Junior,6,0
Spring-2015,Female,24,Senior,4,5
Spring-2015,Female,23,Junior,1,10
Spring-2015,Female,19,Sophomore,7,1
Spring-2015,Female,20,Junior,5,4
Spring-2015,Male,22,Junior,0,10
Spring-2015,Female,22,Junior,8,6
